GameID,Ha,pHa,La,LotShapeA,LotNumA,Hb,pHb,Lb,LotShapeB,LotNumB,Amb,Corr,B.1,B.2,B.3,B.4,B.5
1,3,1,3,-,1,4,0.8,0,-,1,0,0,0.4224,0.5712,0.568,0.5952,0.6496
2,3,0.25,0,-,1,4,0.2,0,-,1,0,0,0.6128,0.616,0.6208,0.6384,0.616
3,-1,1,-1,-,1,0,0.5,-2,-,1,0,0,0.5792,0.6032,0.5984,0.5776,0.5632
4,1,1,1,-,1,2,0.5,0,-,1,0,0,0.3536,0.5072,0.536,0.496,0.5392
5,-3,1,-3,-,1,0,0.2,-4,-,1,0,0,0.4928,0.464,0.416,0.3824,0.3568
6,0,0.75,-3,-,1,0,0.8,-4,-,1,0,0,0.3824,0.4016,0.3968,0.424,0.4064
7,-1,1,-1,-,1,0,0.95,-20,-,1,0,0,0.4784,0.6288,0.6192,0.6224,0.6384
8,1,1,1,-,1,20,0.05,0,-,1,0,0,0.3872,0.3824,0.328,0.336,0.2896
9,1,1,1,-,1,100,0.01,0,-,1,0,0,0.4656,0.3984,0.3888,0.3904,0.3856
10,2,1,2,-,1,101,0.01,1,-,1,0,0,0.5456,0.4544,0.4336,0.424,0.416
11,19,1,19,-,1,20,0.9,-20,-,1,0,0,0.1328,0.2192,0.208,0.1968,0.2064
12,0,1,0,-,1,50,0.5,-50,-,1,0,0,0.3376,0.4128,0.4304,0.4352,0.3808
13,0,1,0,-,1,50,0.5,-50,-,1,0,0,0.3616,0.3696,0.4,0.3712,0.36
14,0,1,0,-,1,1,0.5,-1,-,1,0,0,0.4912,0.4512,0.4208,0.4064,0.376
15,7,1,7,-,1,50,0.5,1,-,1,0,0,0.7824,0.8432,0.8784,0.8288,0.8464
16,7,1,7,-,1,50,0.5,-1,-,1,0,0,0.7072,0.7904,0.8128,0.832,0.8304
17,30,1,30,-,1,50,0.5,1,-,1,0,0,0.2384,0.3296,0.3248,0.304,0.2896
18,30,1,30,-,1,50,0.5,-1,-,1,0,0,0.232,0.328,0.4032,0.3328,0.3328
19,9,1,9,-,1,9,1,9,R-skew,8,0,0,0.3648,0.3872,0.3568,0.3088,0.2976
20,9,1,9,-,1,9,1,9,R-skew,8,0,0,0.376,0.376,0.392,0.3632,0.3616
21,10,0.5,0,-,1,10,0.5,0,-,1,1,0,0.3728,0.416,0.4704,0.48,0.5072
22,10,0.1,0,-,1,10,0.1,0,-,1,1,0,0.8208,0.8384,0.7824,0.7072,0.6592
23,10,0.9,0,-,1,10,0.9,0,-,1,1,0,0.1456,0.1616,0.2576,0.3248,0.3184
24,-2,1,-2,-,1,-1,0.5,-3,-,1,0,0,0.4816,0.52,0.4784,0.4784,0.4496
25,2,1,2,-,1,3,0.5,1,-,1,0,0,0.4064,0.5008,0.4592,0.4624,0.4944
26,16,1,16,-,1,50,0.4,1,-,1,0,0,0.4992,0.6528,0.6112,0.5968,0.5456
27,16,1,16,-,1,48,0.4,1,L-skew,3,0,0,0.504,0.568,0.6,0.5776,0.5728
28,6,0.5,0,-,1,9,0.5,0,-,1,0,-1,0.9088,0.8656,0.8256,0.8464,0.8432
29,2,1,2,-,1,3,1,3,-,1,0,0,0.9664,0.9824,0.9904,0.9888,0.9952
30,6,0.5,0,-,1,8,0.5,0,-,1,0,1,0.9424,0.9648,0.9632,0.976,0.9792
31,4,1,4,-,1,40,0.6,-44,-,1,1,0,0.232098765,0.308641975,0.343209877,0.407407407,0.365432099
32,24,0.75,-4,-,1,82,0.25,3,-,1,0,0,0.681481481,0.683950617,0.674074074,0.669135802,0.686419753
33,-3,1,-3,-,1,14,0.4,-22,-,1,0,0,0.325925926,0.279012346,0.30617284,0.24691358,0.219753086
34,7,1,7,-,1,27,0.1,4,Symm,3,0,0,0.387654321,0.44691358,0.427160494,0.412345679,0.402469136
35,-5,1,-5,-,1,47,0.01,-15,-,1,0,0,0.175308642,0.088888889,0.041975309,0.027160494,0.049382716
36,28,1,28,-,1,88,0.6,-46,R-skew,3,0,0,0.392592593,0.545679012,0.558024691,0.602469136,0.567901235
37,23,0.9,0,-,1,64,0.4,-7,-,1,0,0,0.380246914,0.409876543,0.419753086,0.367901235,0.372839506
38,24,1,24,-,1,34,0.05,28,-,1,0,0,0.908641975,0.977777778,0.990123457,1,1
39,29,1,29,-,1,33,0.8,6,Symm,5,0,0,0.498765432,0.688888889,0.696296296,0.683950617,0.664197531
40,3,0.8,-37,-,1,79,0.4,-46,L-skew,7,0,0,0.486419753,0.535802469,0.604938272,0.6,0.562962963
41,29,1,29,-,1,44,0.4,21,Symm,5,0,0,0.683950617,0.730864198,0.743209877,0.679012346,0.67654321
42,-6,1,-6,-,1,54,0.1,-21,-,1,1,0,0.604938272,0.47654321,0.254320988,0.227160494,0.197530864
43,14,1,14,-,1,12,0.9,9,-,1,0,0,0.128395062,0.044444444,0.002469136,0,0.004938272
44,23,1,23,-,1,24,0.99,-33,-,1,0,0,0.274074074,0.437037037,0.469135802,0.49382716,0.466666667
45,13,1,13,-,1,13,1,13,Symm,9,0,0,0.496296296,0.558024691,0.585185185,0.533333333,0.52345679
46,37,0.01,9,-,1,30,0.6,-37,-,1,0,0,0.2,0.269135802,0.271604938,0.30617284,0.301234568
47,11,1,11,-,1,57,0.2,-5,L-skew,6,0,0,0.214814815,0.195061728,0.209876543,0.158024691,0.145679012
48,-2,1,-2,-,1,24,0.5,-24,-,1,1,0,0.390123457,0.49382716,0.516049383,0.44691358,0.419753086
49,23,1,23,-,1,23,1,23,Symm,3,0,0,0.538271605,0.496296296,0.49382716,0.483950617,0.47654321
50,4,1,4,-,1,4,1,4,Symm,9,0,0,0.437037037,0.656790123,0.597530864,0.57037037,0.572839506
51,42,0.8,-18,-,1,68,0.2,23,-,1,0,0,0.792592593,0.708641975,0.735802469,0.716049383,0.703703704
52,46,0.2,0,-,1,46,0.25,-2,-,1,0,0,0.362962963,0.261728395,0.254320988,0.222222222,0.217283951
53,28,1,28,-,1,42,0.75,-22,-,1,0,0,0.355555556,0.427160494,0.417283951,0.414814815,0.414814815
54,18,1,18,-,1,64,0.5,-33,-,1,0,0,0.320987654,0.296296296,0.308641975,0.320987654,0.286419753
55,43,0.2,19,-,1,22,0.25,17,Symm,9,0,-1,0.204938272,0.158024691,0.09382716,0.074074074,0.069135802
56,-8,1,-8,-,1,-5,0.99,-34,-,1,0,0,0.762962963,0.881481481,0.90617284,0.901234568,0.89382716
57,49,0.5,-3,-,1,33,0.95,17,Symm,9,0,-1,0.767901235,0.708641975,0.698765432,0.730864198,0.748148148
58,85,0.4,-7,-,1,40,0.25,24,-,1,0,0,0.602469136,0.511111111,0.520987654,0.540740741,0.558024691
59,17,0.25,16,-,1,43,0.4,2,-,1,0,0,0.511111111,0.52345679,0.520987654,0.49382716,0.486419753
60,51,0.1,21,-,1,38,0.6,1,-,1,0,0,0.365432099,0.377777778,0.340740741,0.29382716,0.301234568
61,26,0.25,25,-,1,29,0.05,24,R-skew,7,0,0,0.6675,0.6175,0.6175,0.6025,0.555
62,25,1,25,-,1,45,0.2,17,-,1,0,0,0.3225,0.3175,0.3475,0.3375,0.3375
63,17,1,17,-,1,60,0.1,15,Symm,5,0,0,0.6775,0.6975,0.67,0.66,0.69
64,52,0.1,-8,-,1,5,0.9,-43,-,1,1,0,0.3525,0.55,0.7,0.7225,0.675
65,12,0.4,-16,-,1,-5,1,-5,-,1,0,0,0.325,0.3975,0.435,0.4475,0.45
66,45,0.6,2,-,1,54,0.1,20,L-skew,5,0,0,0.43,0.345,0.3975,0.4375,0.4275
67,85,0.25,4,-,1,54,0.25,11,-,1,0,1,0.445,0.47,0.46,0.4775,0.43
68,12,1,12,-,1,102,0.2,-14,-,1,0,0,0.3875,0.27,0.2925,0.32,0.305
69,49,0.5,11,-,1,31,0.95,21,Symm,3,1,0,0.3875,0.285,0.37,0.4025,0.445
70,18,1,18,-,1,35,0.75,-19,-,1,0,0,0.38,0.5475,0.5775,0.5975,0.5825
71,13,0.6,-20,-,1,76,0.2,-26,-,1,0,0,0.3775,0.2525,0.2875,0.23,0.28
72,-9,1,-9,-,1,13,0.25,-8,-,1,0,0,0.8225,0.9575,0.995,1,1
73,2,1,2,-,1,51,0.05,0,Symm,7,0,0,0.37,0.3825,0.39,0.39,0.4125
74,44,0.05,16,-,1,14,0.9,10,Symm,3,1,0,0.1325,0.05,0.015,0.0025,0.0025
75,13,1,13,-,1,50,0.6,-45,-,1,0,0,0.3525,0.4375,0.415,0.4375,0.495
76,35,0.01,16,-,1,20,0.5,13,Symm,5,1,0,0.6775,0.7075,0.705,0.6825,0.6425
77,1,1,1,-,1,38,0.4,-9,-,1,0,0,0.645,0.6625,0.6525,0.6025,0.625
78,19,1,19,-,1,44,0.05,9,-,1,0,0,0.105,0.1175,0.1075,0.1425,0.12
79,32,0.01,19,-,1,65,0.01,9,-,1,0,0,0.14,0.0725,0.035,0.015,0.015
80,3,1,3,-,1,50,0.4,-36,-,1,0,0,0.4675,0.3725,0.4125,0.405,0.425
81,10,0.25,2,-,1,-1,0.9,-32,-,1,1,0,0.1375,0.035,0.0125,0.0125,0.0125
82,25,1,25,-,1,26,0.01,25,Symm,7,1,0,0.5475,0.72,0.7725,0.805,0.82
83,9,1,9,-,1,64,0.01,9,-,1,0,0,0.865,0.96,0.9825,0.9825,0.985
84,27,1,27,-,1,22,0.99,-7,-,1,0,0,0.0775,0.015,0,0.0025,0.0025
85,20,1,20,-,1,70,0.25,6,-,1,0,0,0.4275,0.4525,0.4875,0.46,0.4375
86,71,0.5,-11,-,1,61,0.75,-49,-,1,1,0,0.13,0.23,0.3025,0.315,0.2525
87,-2,1,-2,-,1,4,0.99,-34,Symm,7,0,0,0.805,0.955,0.98,0.96,0.975
88,17,0.05,-7,-,1,13,0.25,-15,-,1,1,0,0.68,0.5725,0.5125,0.4425,0.37
89,17,1,17,-,1,44,0.1,17,-,1,0,0,0.88,0.955,0.9925,1,1
90,10,1,10,-,1,31,0.75,-49,-,1,0,0,0.415,0.5525,0.5275,0.5575,0.545
91,7,1,7,-,1,16,0.1,10,-,1,0,0,0.92,0.9625,0.9875,0.9925,0.995
92,8,0.8,-37,-,1,102,0.2,-29,-,1,0,0,0.3925,0.28,0.3475,0.3125,0.3175
93,5,1,5,-,1,103,0.1,-9,L-skew,4,1,0,0.555,0.475,0.435,0.3325,0.2975
94,7,1,7,-,1,6,0.75,1,-,1,0,0,0.1025,0.035,0.015,0.025,0.02
95,-3,0.05,-9,-,1,42,0.4,-24,L-skew,6,0,1,0.7225,0.5975,0.5725,0.5675,0.5675
96,35,0.5,-47,-,1,-10,0.75,-15,-,1,0,0,0.3025,0.3375,0.3675,0.335,0.3125
97,10,1,10,-,1,45,0.2,-5,-,1,0,0,0.2225,0.135,0.265,0.2375,0.21
98,94,0.5,-40,-,1,36,0.75,-21,Symm,7,0,0,0.5075,0.4475,0.43,0.44,0.4525
99,22,1,22,-,1,44,0.4,15,Symm,5,0,0,0.6475,0.74,0.7475,0.71,0.705
100,18,0.6,-29,-,1,-1,1,-1,-,1,0,0,0.5375,0.4575,0.5,0.535,0.53
101,28,1,28,-,1,73,0.05,27,Symm,3,0,0,0.83,0.825,0.7875,0.7675,0.7625
102,11,1,11,-,1,25,0.5,-3,Symm,3,1,0,0.385,0.51,0.5875,0.62,0.59
103,27,0.8,-4,-,1,77,0.1,22,R-skew,6,0,-1,0.8325,0.8225,0.7325,0.775,0.7675
104,-6,1,-6,-,1,3,0.99,-27,-,1,0,0,0.8525,0.95,0.98,0.97,0.9825
105,30,1,30,-,1,90,0.01,36,-,1,0,0,0.895,0.97,1,1,1
106,2,1,2,-,1,34,0.05,-5,Symm,5,0,0,0.195,0.135,0.1525,0.145,0.1225
107,25,1,25,-,1,65,0.25,9,Symm,5,0,0,0.3925,0.39,0.4025,0.365,0.315
108,16,1,16,-,1,91,0.2,-11,-,1,0,0,0.2725,0.1725,0.2325,0.19,0.18
109,11,1,11,-,1,26,0.5,-9,-,1,0,0,0.325,0.4125,0.465,0.38,0.4
110,12,1,12,-,1,29,0.8,-35,L-skew,2,0,0,0.56,0.715,0.71,0.695,0.7675
111,28,1,28,-,1,47,0.6,-13,-,1,0,0,0.245,0.4125,0.4125,0.4,0.3875
112,-7,1,-7,-,1,28,0.2,-18,Symm,7,0,0,0.51,0.36,0.3075,0.2925,0.26
113,9,0.95,0,-,1,37,0.25,-3,R-skew,6,0,0,0.3525,0.3675,0.365,0.375,0.3675
114,72,0.01,-2,-,1,112,0.25,-33,-,1,0,-1,0.4375,0.445,0.3975,0.415,0.3175
115,50,0.4,5,-,1,20,0.8,-17,Symm,7,0,0,0.1725,0.185,0.2275,0.2,0.1975
116,2,1,2,-,1,45,0.05,3,Symm,5,0,0,0.9475,0.99,0.995,1,0.9975
117,-6,1,-6,-,1,7,0.5,-30,-,1,0,0,0.325,0.3925,0.3625,0.345,0.3425
118,26,1,26,-,1,46,0.5,10,L-skew,6,0,0,0.465,0.56,0.6175,0.585,0.5675
119,19,0.4,12,-,1,100,0.25,-12,R-skew,2,0,0,0.3325,0.315,0.3425,0.3425,0.345
120,-9,0.95,-26,-,1,-1,0.1,-11,-,1,0,0,0.565,0.4075,0.425,0.4575,0.4175
121,-8,1,-8,-,1,21,0.01,0,Symm,3,0,0,0.7925,0.945,0.9925,0.9975,0.9875
122,68,0.05,-14,-,1,-11,0.9,-36,-,1,0,0,0.36,0.3875,0.42,0.46,0.395
123,28,0.75,-13,-,1,57,0.1,16,-,1,0,0,0.735,0.64,0.655,0.6975,0.6275
124,15,0.95,7,-,1,42,0.01,19,-,1,0,0,0.8525,0.955,0.965,0.97,0.9775
125,28,1,28,-,1,41,0.4,12,-,1,0,0,0.2925,0.36,0.325,0.3275,0.36
126,-8,1,-8,-,1,80,0.2,-18,Symm,7,0,0,0.53,0.515,0.51,0.4875,0.5175
127,4,1,4,-,1,29,0.6,-40,-,1,1,0,0.2625,0.3325,0.4425,0.4625,0.44
128,-3,1,-3,-,1,32,0.4,-16,-,1,0,0,0.6375,0.565,0.555,0.5675,0.56
129,-2,1,-2,-,1,-2,1,-2,Symm,9,0,0,0.4625,0.5325,0.5075,0.48,0.525
130,72,0.4,-41,-,1,16,0.01,1,-,1,0,0,0.6125,0.5975,0.56,0.5425,0.54
131,18,1,18,-,1,45,0.01,11,-,1,0,0,0.185,0.0875,0.08,0.0825,0.0625
132,11,1,11,-,1,20,0.99,4,Symm,7,0,0,0.81,0.94,0.965,0.97,0.9775
133,3,1,3,-,1,8,0.99,-17,Symm,9,0,0,0.705,0.905,0.92,0.9175,0.9375
134,27,0.05,24,-,1,31,0.5,10,Symm,3,0,0,0.3425,0.335,0.375,0.38,0.37
135,6,1,6,-,1,8,0.5,-1,-,1,0,0,0.245,0.3175,0.305,0.29,0.285
136,4,1,4,-,1,25,0.01,-5,-,1,0,0,0.155,0.07,0.0725,0.045,0.045
137,3,1,3,-,1,4,0.4,3,Symm,5,1,0,0.73,0.8625,0.895,0.9025,0.8975
138,23,1,23,-,1,21,0.8,16,-,1,0,0,0.1325,0.065,0.0075,0.0175,0.015
139,14,1,14,-,1,35,0.6,-9,Symm,7,0,0,0.48,0.6675,0.7,0.6375,0.6475
140,-2,1,-2,-,1,9,0.25,8,-,1,0,0,0.91,0.98,0.98,0.985,0.98
141,28,0.8,-26,-,1,22,0.75,2,-,1,0,0,0.7725,0.695,0.615,0.6025,0.62
142,23,1,23,-,1,29,0.8,-8,-,1,0,0,0.2975,0.44,0.4275,0.51,0.5375
143,67,0.5,-39,-,1,93,0.25,-15,-,1,0,0,0.525,0.5775,0.5425,0.595,0.6325
144,16,0.8,12,-,1,15,1,15,Symm,9,0,0,0.4175,0.495,0.435,0.415,0.42
145,17,0.5,-27,-,1,3,0.75,-35,Symm,7,0,0,0.415,0.425,0.4175,0.3375,0.34
146,45,0.2,3,-,1,75,0.05,13,Symm,5,0,0,0.785,0.8225,0.8375,0.8675,0.835
147,29,1,29,-,1,36,0.1,32,Symm,7,0,0,0.88,0.9625,0.9875,0.98,0.9675
148,65,0.01,1,-,1,12,0.01,3,-,1,1,-1,0.73,0.81,0.8175,0.8425,0.8525
149,12,1,12,-,1,31,0.1,12,Symm,3,0,0,0.8575,0.9,0.92,0.91,0.94
150,16,1,16,-,1,24,0.05,12,L-skew,3,0,0,0.3525,0.25,0.215,0.185,0.17
151,27,0.8,-37,R-skew,7,28,0.01,20,Symm,3,0,0,0.669491525,0.5,0.447457627,0.454237288,0.462711864
152,87,0.2,-26,Symm,5,64,0.05,0,Symm,9,0,0,0.785,0.798333333,0.778333333,0.79,0.786666667
153,39,0.4,6,Symm,5,15,0.95,12,-,1,0,1,0.366956522,0.300869565,0.35826087,0.354782609,0.380869565
154,46,0.1,16,-,1,65,0.2,2,Symm,5,1,0,0.663247863,0.582905983,0.434188034,0.401709402,0.335042735
155,7,1,7,-,1,6,0.01,-4,Symm,5,0,0,0.030252101,0.011764706,0.008403361,0.003361345,0.003361345
156,-1,1,-1,-,1,1,0.2,-1,Symm,7,0,0,0.901694915,0.942372881,0.952542373,0.969491525,0.966101695
157,16,1,16,-,1,33,0.5,14,-,1,0,0,0.910169492,0.925423729,0.898305085,0.894915254,0.9
158,3,0.8,-17,R-skew,2,6,0.6,-13,Symm,9,0,0,0.522033898,0.540677966,0.610169492,0.603389831,0.601694915
159,14,1,14,-,1,20,0.95,16,-,1,0,0,0.906896552,0.962068966,0.986206897,0.99137931,0.99137931
160,60,0.1,19,-,1,34,0.8,23,-,1,0,-1,0.801724138,0.853448276,0.824137931,0.843103448,0.851724138
161,0,0.9,-4,R-skew,5,-2,0.99,-8,-,1,0,0,0.176470588,0.208403361,0.223529412,0.23697479,0.284033613
162,39,0.6,14,-,1,48,0.25,24,-,1,0,0,0.540677966,0.510169492,0.579661017,0.56440678,0.559322034
163,25,1,25,-,1,35,0.2,12,-,1,0,0,0.093220339,0.115254237,0.116949153,0.111864407,0.105084746
164,1,0.5,1,-,1,40,0.01,-4,-,1,0,0,0.107563025,0.11092437,0.124369748,0.11092437,0.105882353
165,35,0.75,-18,-,1,53,0.2,27,Symm,9,0,0,0.901694915,0.86779661,0.844067797,0.861016949,0.820338983
166,-6,1,-6,-,1,15,0.6,-10,-,1,0,0,0.907692308,0.931623932,0.892307692,0.904273504,0.926495726
167,13,1,13,-,1,12,0.8,8,-,1,0,0,0.054237288,0.022033898,0.005084746,0.005084746,0.005084746
168,29,1,29,-,1,31,0.8,10,Symm,3,0,0,0.245762712,0.371186441,0.410169492,0.377966102,0.355932203
169,58,0.1,0,-,1,26,0.2,8,R-skew,3,1,-1,0.876521739,0.909565217,0.902608696,0.869565217,0.871304348
170,30,0.99,28,R-skew,6,30,0.6,19,L-skew,6,0,0,0.07008547,0.063247863,0.109401709,0.109401709,0.097435897
171,-8,1,-8,-,1,7,0.25,-14,Symm,9,0,0,0.579487179,0.557264957,0.528205128,0.41025641,0.382905983
172,21,1,21,-,1,26,0.8,-24,-,1,0,0,0.189655172,0.284482759,0.305172414,0.312068966,0.34137931
173,83,0.5,-33,Symm,7,25,1,25,-,1,0,0,0.613793103,0.496551724,0.487931034,0.525862069,0.501724138
174,74,0.6,-36,Symm,5,46,0.5,-11,Symm,3,0,0,0.499159664,0.371428571,0.354621849,0.32605042,0.297478992
175,-4,1,-4,-,1,-2,0.8,-25,Symm,9,0,0,0.313793103,0.437931034,0.482758621,0.489655172,0.427586207
176,-9,1,-9,-,1,12,0.5,-8,-,1,1,0,0.860344828,0.975862069,1,1,1
177,41,0.4,-4,Symm,5,42,0.4,-9,Symm,5,1,0,0.562711864,0.523728814,0.477966102,0.415254237,0.386440678
178,32,0.6,-38,-,1,14,0.2,4,L-skew,3,0,0,0.820338983,0.738983051,0.661016949,0.644067797,0.642372881
179,36,0.8,-18,Symm,5,52,0.25,21,L-skew,3,0,0,0.825210084,0.749579832,0.682352941,0.695798319,0.705882353
180,50,0.6,-8,L-skew,6,52,0.4,-12,-,1,1,0,0.286440678,0.283050847,0.215254237,0.2,0.186440678
181,-9,1,-9,-,1,71,0.2,-20,R-skew,4,0,0,0.571186441,0.53220339,0.461016949,0.428813559,0.459322034
182,28,1,28,-,1,27,0.95,-11,-,1,0,0,0.039316239,0.022222222,0.006837607,0.005128205,0.006837607
183,35,0.25,-14,Symm,3,42,0.25,-14,R-skew,3,0,0,0.922689076,0.915966387,0.880672269,0.867226891,0.855462185
184,22,0.01,16,R-skew,3,84,0.25,-9,L-skew,3,0,-1,0.264957265,0.309401709,0.326495726,0.336752137,0.305982906
185,7,1,7,-,1,18,0.99,-19,-,1,0,0,0.779487179,0.905982906,0.935042735,0.941880342,0.958974359
186,19,1,19,-,1,97,0.1,5,-,1,0,0,0.269491525,0.237288136,0.261016949,0.271186441,0.26440678
187,-3,1,-3,-,1,43,0.2,-20,-,1,0,0,0.256410256,0.215384615,0.261538462,0.252991453,0.232478632
188,-7,1,-7,-,1,-4,0.01,-5,Symm,3,0,0,0.834482759,0.939655172,0.984482759,0.987931034,0.99137931
189,2,1,2,-,1,4,0.75,-23,-,1,0,0,0.167521368,0.276923077,0.27008547,0.254700855,0.261538462
190,10,1,10,-,1,28,0.2,-1,-,1,0,0,0.137931034,0.201724138,0.205172414,0.201724138,0.206896552
191,16,1,16,-,1,15,0.8,-12,-,1,0,0,0.049152542,0.022033898,0.008474576,0,0.006779661
192,10,1,10,-,1,59,0.01,4,-,1,0,0,0.157264957,0.126495726,0.123076923,0.133333333,0.128205128
193,42,0.01,29,-,1,80,0.1,20,L-skew,2,0,0,0.494017094,0.413675214,0.357264957,0.347008547,0.321367521
194,30,1,30,-,1,64,0.01,20,-,1,1,0,0.456637168,0.350442478,0.212389381,0.130973451,0.107964602
195,10,1,10,-,1,92,0.01,9,Symm,9,0,0,0.667826087,0.615652174,0.6,0.55826087,0.556521739
196,19,0.8,4,-,1,38,0.6,-27,-,1,1,0,0.157627119,0.23220339,0.447457627,0.428813559,0.427118644
197,19,1,19,-,1,38,0.75,-33,R-skew,4,0,0,0.370689655,0.548275862,0.624137931,0.64137931,0.639655172
198,31,0.8,-4,-,1,34,0.1,16,-,1,1,1,0.682352941,0.497478992,0.396638655,0.373109244,0.352941176
199,76,0.5,-24,-,1,38,0.6,-20,L-skew,3,0,0,0.43697479,0.378151261,0.354621849,0.324369748,0.349579832
200,16,1,16,-,1,40,0.6,-15,-,1,0,0,0.373109244,0.536134454,0.556302521,0.546218487,0.556302521
201,14,1,14,-,1,14,1,14,R-skew,2,0,0,0.435294118,0.515966387,0.522689076,0.472268908,0.401680672
202,53,0.1,27,-,1,32,0.95,9,-,1,0,0,0.574358974,0.627350427,0.652991453,0.606837607,0.586324786
203,104,0.05,1,Symm,7,34,0.05,2,L-skew,2,0,0,0.461538462,0.468376068,0.466666667,0.452991453,0.439316239
204,9,1,9,-,1,55,0.1,5,-,1,1,0,0.644067797,0.53220339,0.452542373,0.416949153,0.369491525
205,36,0.05,16,L-skew,6,33,0.5,-1,-,1,0,0,0.418803419,0.492307692,0.494017094,0.492307692,0.468376068
206,92,0.2,9,-,1,26,1,26,Symm,7,0,0,0.677310924,0.714285714,0.68907563,0.650420168,0.672268908
207,22,0.9,-41,-,1,14,0.99,6,-,1,0,0,0.66779661,0.486440678,0.413559322,0.410169492,0.420338983
208,6,1,6,R-skew,4,116,0.25,-31,Symm,9,0,0,0.273333333,0.308333333,0.351666667,0.333333333,0.365
209,85,0.4,-22,L-skew,7,30,0.95,-2,-,1,0,0,0.793277311,0.768067227,0.737815126,0.71092437,0.715966387
210,25,0.2,10,-,1,102,0.05,9,Symm,3,0,0,0.638983051,0.577966102,0.493220339,0.472881356,0.484745763
